User_ID,User_Age,User_Gender,User_State,Artisan_State,Request_Date_Time,Artisan_ID,Skill_Type,Artisan_Age,Scheduling_Preference,Premium_Service,Payment_Method,Availability,Popularity,User_Rating,Artisan_Rating,Successful,Artisan_Name,User_Local_Government_Area,Artisan_Local_Government_Area,,Artisan_Gender
U100,61,Male,Jigawa,Jigawa,2023-01-02 19:14:43,Chi-0101,Caterer,25,On-Demand,No,Card,Available,Medium,1.351477987,2.412168079,Yes,Chidinma Eze,Maigatari,Maigatari,,Female
U101,42,Female,Sokoto,Sokoto,2023-01-02 19:40:56,Ali-0102,Hairdresser,27,Advance,No,Cash,Available,Medium,1.851595381,2.098901758,Yes,Aliyu Ibrahim,Illela,Illela,,Male
U102,22,Male,Bayelsa,Bayelsa,2023-01-02 20:07:08,Ade-0103,Dressmaker,19,Advance,Yes,Online Payment,Available,High,4.262788041,4.6879282,Yes,Adetokunbo Adebiyi,Nembe,Nembe,,Male
U103,35,Female,Nasarawa,Nasarawa,2023-01-02 20:33:21,Ade-0104,Tiler,45,Advance,No,Online Payment,Available,Medium,3.518362396,1.492921138,Yes,Adetokunbo Adeyemi,Doma,Doma,,Male
U104,62,Female,Abia,Abia,2023-01-02 20:59:34,Chu-0105,Painter,35,Advance,Yes,Online Payment,Available,High,2.928917738,4.458762039,Yes,Chukwudi Eze,Ohafia,Ohafia,,Male
U105,34,Male,Bauchi,Bauchi,2023-01-02 21:25:46,Bab-0106,Barber,46,On-Demand,No,Cash,Available,Medium,2.070541345,4.987272885,No,Babatunde Ogunlana,Giade,Giade,,Male
U106,18,Female,Zamfara,Zamfara,2023-01-02 21:51:59,Olu-0107,Electrician,34,On-Demand,Yes,Card,Available,Low,2.320519516,3.48998629,No,Oluwaseun Adeyemi,Maru,Maru,,Male
U107,42,Female,Adamawa,Adamawa,2023-01-02 22:18:11,Ali-0108,Electrician,48,On-Demand,No,Cash,Available,Medium,4.437694982,3.146692392,No,Aliyu Muhammad,Song,Song,,Male
U108,65,Male,Ondo,Ondo,2023-01-02 22:44:24,Olu-0109,Painter,46,Advance,No,Card,Available,Medium,2.692744503,4.973880663,Yes,Oluwatoyin Olawale,Akure South,Akure South,,Female
U109,64,Female,Ekiti,Ekiti,2023-01-02 23:10:36,Ali-0110,Welder,60,Advance,Yes,Cash,Available,Low,2.738458345,2.994184785,Yes,Aliyu Ali,Ado,Ado,,Male
U110,30,Female,Borno,Borno,2023-01-02 23:36:49,Chi-0111,Electrician,51,On-Demand,Yes,Online Payment,Available,High,2.79519442,1.366647774,No,Chizoba Ibe,Bama,Bama,,Female
U111,37,Male,Katsina,Katsina,2023-01-03 0:03:01,Uma-0112,Painter,60,On-Demand,Yes,Card,Available,High,3.786941316,1.655214822,No,Umar Ali,Safana,Safana,,Male
U112,22,Female,Ekiti,Ekiti,2023-01-03 0:29:14,Chi-0113,Electrician,37,Advance,No,Online Payment,Available,Medium,2.595968216,4.723173418,No,Chinonso Okafor,Ise/Orun,Ise/Orun,,Male
U113,60,Male,Rivers,Rivers,2023-01-03 0:55:27,Hau-0114,Photographer,67,On-Demand,Yes,Cash,Available,Medium,4.561620762,3.218321649,Yes,Hauwa Ali,Ahoada West,Ahoada West,,Female
U114,22,Male,Yobe,Yobe,2023-01-03 1:21:39,Sad-0115,Electrician,47,Advance,No,Cash,Available,Medium,4.554845655,4.634425064,Yes,Sadiya Ali,Tarmua,Tarmua,,Male
U115,32,Female,Kebbi,Kebbi,2023-01-03 1:47:52,Obi-0116,Carpenter,70,On-Demand,No,Card,Available,Medium,3.779783921,2.596736467,Yes,Obinna Okafor,Shanga,Shanga,,Male
U116,37,Male,Ekiti,Ekiti,2023-01-03 2:14:04,Chi-0117,Shoe Cobbler,65,On-Demand,No,Cash,Available,Medium,2.135002931,3.118332561,Yes,Chizoba Okoye,Oye,Oye,,Female
U117,32,Male,Kaduna,Kaduna,2023-01-03 2:40:17,Uch-0118,Barber,70,Advance,No,Online Payment,Available,Medium,3.05360276,1.425018547,No,Uchechi Okafor,Ikara,Ikara,,Female
U118,30,Female,Benue,Benue,2023-01-03 3:06:29,Olu-0119,Barber,29,On-Demand,Yes,Card,Available,High,1.263396561,2.672612579,Yes,Olumide Adebiyi,Katsina-Ala,Katsina-Ala,,Male
U119,52,Male,Ogun,Ogun,2023-01-03 3:32:42,Chi-0120,Dressmaker,31,Advance,Yes,Online Payment,Available,High,1.486501078,3.027131697,Yes,Chinonso Ibe,Ijebu East,Ijebu East,,Male
U120,51,Male,Rivers,Rivers,2023-01-03 3:58:54,Olu-0121,Hairdresser,41,Advance,Yes,Online Payment,Available,Low,2.038951212,4.370410177,Yes,Oluwakemi Ajayi,Oyigbo,Oyigbo,,Female
U121,18,Male,Jigawa,Jigawa,2023-01-03 4:25:07,Uma-0122,Photographer,68,Advance,No,Online Payment,Available,Medium,4.698359925,4.325314964,Yes,Umar Muhammad,Kafin Hausa,Kafin Hausa,,Male
U122,52,Male,Borno,Borno,2023-01-03 4:51:20,Olu-0123,Hairdresser,39,Advance,Yes,Cash,Available,Low,3.375141373,4.593795762,Yes,Oluwaseun Adebiyi,Monguno,Monguno,,Male
U123,36,Male,Niger,Niger,2023-01-03 5:17:32,Chi-0124,Graphic Designer,27,Advance,No,Cash,Available,Low,3.214750989,1.60272493,Yes,Chinonso Ibe,Gbako,Gbako,,Male
U124,58,Female,Kogi,Kogi,2023-01-03 5:43:45,Olu-0125,Barber,26,On-Demand,No,Online Payment,Available,High,4.86192973,1.460683315,Yes,Oluwatobi Ogunlana,Yagba East,Yagba East,,Male
U125,22,Male,Osun,Osun,2023-01-03 6:09:57,Chu-0126,Dressmaker,69,On-Demand,Yes,Cash,Available,Low,4.812853599,4.532499795,Yes,Chukwudi Onyeka,Ife East,Ife East,,Male
U126,51,Male,Benue,Benue,2023-01-03 6:36:10,Olu-0127,Painter,40,Advance,No,Cash,Available,Medium,4.926977832,1.103272589,Yes,Oluwatoyin Ogunleye,Makurdi,Makurdi,,Female
U127,48,Male,Bauchi,Bauchi,2023-01-03 7:02:22,Yus-0128,Graphic Designer,32,On-Demand,Yes,Cash,Available,High,2.796776145,3.703778626,No,Yusuf Ibrahim,Misau,Misau,,Male
U128,42,Female,Enugu,Enugu,2023-01-03 7:28:35,Chi-0129,Gardener,54,Advance,No,Card,Available,Medium,4.02841514,4.809723469,Yes,Chidinma Okeke,Igbo-Ekiti,Igbo-Ekiti,,Female
